key,place,name,bounds,query,score
אשדות_יעקב_מאוחד,village,"[""אשדות יעקב מאוחד""]","[35.5792372, 32.6581469, 35.588294, 32.6668654]",אשדות יעקב מאוחד,78.96171079997157
אשחר,village,"[""אשחר""]","[35.2973661, 32.8837107, 35.3036738, 32.8885842]",אשחר,30.740575949972406
אשכולות,village,"[""אשכולות""]","[34.895776, 31.3888589, 34.9069505, 31.3930708]",אשכולות,47.06587655002699
אשל_הנשיא,village,"[""אשל הנשיא""]","[34.6938708, 31.3236175, 34.7017929, 31.3284094]",אשל הנשיא,37.96191099001455
אשלים,village,"[""אשלים""]","[34.6957253, 30.9609279, 34.7022619, 30.9678502]",אשלים,45.24830618002365
אשקלון,city,"[""אשקלון""]","[34.4920184, 31.6196996, 34.6142545, 31.718223]",אשקלון,120431.16174739924
אשרם_במדבר_נח_ל_שיטים,hamlet,"[""אשרם במדבר"", ""נח״ל שיטים""]","[35.0155501, 30.1758197, 35.0173559, 30.1780467]",אשרם במדבר,2.01075829999757
אשרת,village,"[""אשרת""]","[35.1528242, 32.9691257, 35.1616712, 32.9738564]",אשרת,41.85250290004216
אשתאול,village,"[""אשתאול""]","[35.005644, 31.7763253, 35.0138446, 31.7856166]",אשתאול,76.19423478002784
אשתמוע,hamlet,"[""אשתמוע""]","[35.0145326, 31.3923374, 35.0170119, 31.3940154]",אשתמוע,2.0801327000001124
באקה_אל_גרביה_באקה_אל_ערביה,town,"[""באקה אל-גרביה"", ""באקה אל-ערביה""]","[35.0251753, 32.401201, 35.0574783, 32.4326266]",באקה אל-גרביה,5075.705783999596
באר_אורה,,"[""באר אורה""]","[34.9826575, 29.7082205, 34.9906075, 29.713116]",באר אורה,3.8919225000004487
באר_גנים,village,"[""באר גנים""]","[34.5994409, 31.6963523, 34.6165773, 31.7049697]",באר גנים,147.6712133600216
באר_טוביה,village,"[""באר טוביה""]","[34.7062038, 31.7257928, 34.734056, 31.7413337]",באר טוביה,432.8482549800183
באר_יעקב,town,"[""באר יעקב""]","[34.8230236, 31.9283771, 34.8553234, 31.9486196]",באר יעקב,3269.1435075007275
באר_מילכה,village,"[""באר מילכה""]","[34.4039558, 30.9302018, 34.4090822, 30.9364719]",באר מילכה,32.143040640020374
באר_שבע,city,"[""באר-שבע""]","[34.7339823, 31.1926299, 34.8548134, 31.3234287]",באר-שבע,158045.62882679666
